feature_extraction,channels,classifier,cross-validation,feature-selection,accuracy,f1_score,AUC
PSD,All,Support Vector,KFold,anova,0.4777777777777777,0.425,0.4716666666666667
PSD,All,Support Vector,KFold,mutual_info_classif,0.5444444444444445,0.4512987012987013,0.5900000000000001
PSD,All,Support Vector,KFold,chi2,0.4611111111111111,0.3697435897435898,0.55
PSD,All,Support Vector,StratifiedKFold,anova,0.5444444444444445,0.4680752580752581,0.5650000000000001
PSD,All,Support Vector,StratifiedKFold,mutual_info_classif,0.5666666666666667,0.4566666666666667,0.575
PSD,All,Support Vector,StratifiedKFold,chi2,0.4805555555555555,0.3588811188811188,0.525
PSD,All,Support Vector,StratifiedShuffleSplit,anova,0.5777777777777777,0.5663203463203463,0.5700000000000001
PSD,All,Support Vector,StratifiedShuffleSplit,mutual_info_classif,0.4666666666666666,0.3375124875124876,0.47
PSD,All,Support Vector,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD,All,Random Forest,KFold,anova,0.3888888888888889,0.276107226107226,0.4333333333333333
PSD,All,Random Forest,KFold,mutual_info_classif,0.6611111111111111,0.6561111111111112,0.6766666666666667
PSD,All,Random Forest,KFold,chi2,0.6361111111111111,0.6192640692640692,0.645
PSD,All,Random Forest,StratifiedKFold,anova,0.5194444444444445,0.4878876678876678,0.53
PSD,All,Random Forest,StratifiedKFold,mutual_info_classif,0.486111111111111,0.4036630036630036,0.52
PSD,All,Random Forest,StratifiedKFold,chi2,0.6833333333333332,0.671111111111111,0.7
PSD,All,Random Forest,StratifiedShuffleSplit,anova,0.4888888888888889,0.3794871794871794,0.5349999999999999
PSD,All,Random Forest,StratifiedShuffleSplit,mutual_info_classif,0.6666666666666666,0.6365384615384616,0.6849999999999999
PSD,All,Random Forest,StratifiedShuffleSplit,chi2,0.6888888888888889,0.6799999999999999,0.6950000000000001
PSD,All,XGBoost,KFold,anova,0.4555555555555555,0.428030303030303,0.4333333333333334
PSD,All,XGBoost,KFold,mutual_info_classif,0.638888888888889,0.6198701298701299,0.6516666666666666
PSD,All,XGBoost,KFold,chi2,0.663888888888889,0.651053391053391,0.6916666666666667
PSD,All,XGBoost,StratifiedKFold,anova,0.5666666666666667,0.5554256854256854,0.58
PSD,All,XGBoost,StratifiedKFold,mutual_info_classif,0.475,0.4552380952380952,0.475
PSD,All,XGBoost,StratifiedKFold,chi2,0.6611111111111111,0.6483333333333332,0.68
PSD,All,XGBoost,StratifiedShuffleSplit,anova,0.6888888888888889,0.6567932067932067,0.675
PSD,All,XGBoost,StratifiedShuffleSplit,mutual_info_classif,0.5777777777777777,0.5663203463203462,0.585
PSD,All,XGBoost,StratifiedShuffleSplit,chi2,0.7333333333333334,0.7264502164502165,0.7500000000000001
PSD,All,LightGBM,KFold,anova,0.4111111111111111,0.2897435897435897,0.5
PSD,All,LightGBM,KFold,mutual_info_classif,0.4111111111111111,0.2897435897435897,0.5
PSD,All,LightGBM,KFold,chi2,0.4111111111111111,0.2897435897435897,0.5
PSD,All,LightGBM,StratifiedKFold,anova,0.4555555555555555,0.3128205128205127,0.5
PSD,All,LightGBM,StratifiedKFold,mutual_info_classif,0.4555555555555555,0.3128205128205127,0.5
PSD,All,LightGBM,StratifiedKFold,chi2,0.4555555555555555,0.3128205128205127,0.5
PSD,All,LightGBM,StratifiedShuffleSplit,anova,0.4444444444444445,0.3076923076923076,0.5
PSD,All,LightGBM,StratifiedShuffleSplit,mutual_info_classif,0.4444444444444445,0.3076923076923076,0.5
PSD,All,LightGBM,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD,All,AdaBoost,KFold,anova,0.3861111111111111,0.2926223776223776,0.4416666666666667
PSD,All,AdaBoost,KFold,mutual_info_classif,0.7055555555555555,0.7011111111111112,0.7100000000000001
PSD,All,AdaBoost,KFold,chi2,0.6361111111111111,0.6158008658008658,0.6416666666666667
PSD,All,AdaBoost,StratifiedKFold,anova,0.475,0.4434432234432234,0.485
PSD,All,AdaBoost,StratifiedKFold,mutual_info_classif,0.5305555555555556,0.4481074481074481,0.5650000000000001
PSD,All,AdaBoost,StratifiedKFold,chi2,0.6805555555555556,0.677142857142857,0.695
PSD,All,AdaBoost,StratifiedShuffleSplit,anova,0.4444444444444445,0.3350427350427351,0.49
PSD,All,AdaBoost,StratifiedShuffleSplit,mutual_info_classif,0.5333333333333333,0.4945254745254746,0.55
PSD,All,AdaBoost,StratifiedShuffleSplit,chi2,0.6222222222222222,0.6199999999999999,0.6299999999999999
PSD,Fp1,Support Vector,KFold,anova,0.5444444444444445,0.478034188034188,0.545
PSD,Fp1,Support Vector,KFold,mutual_info_classif,0.5666666666666667,0.52,0.6033333333333333
PSD,Fp1,Support Vector,KFold,chi2,0.4611111111111111,0.3697435897435898,0.55
PSD,Fp1,Support Vector,StratifiedKFold,anova,0.5666666666666667,0.484998334998335,0.575
PSD,Fp1,Support Vector,StratifiedKFold,mutual_info_classif,0.6555555555555556,0.5983300033300034,0.64
PSD,Fp1,Support Vector,StratifiedKFold,chi2,0.4805555555555555,0.3588811188811188,0.525
PSD,Fp1,Support Vector,StratifiedShuffleSplit,anova,0.5555555555555556,0.4499300699300699,0.545
PSD,Fp1,Support Vector,StratifiedShuffleSplit,mutual_info_classif,0.5555555555555556,0.4731168831168831,0.5700000000000001
PSD,Fp1,Support Vector,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD,Fp1,Random Forest,KFold,anova,0.5944444444444444,0.5900000000000001,0.6116666666666667
PSD,Fp1,Random Forest,KFold,mutual_info_classif,0.5222222222222221,0.4747419247419246,0.5800000000000001
PSD,Fp1,Random Forest,KFold,chi2,0.6583333333333333,0.6420129870129869,0.6566666666666667
PSD,Fp1,Random Forest,StratifiedKFold,anova,0.5222222222222223,0.5131168831168832,0.5299999999999999
PSD,Fp1,Random Forest,StratifiedKFold,mutual_info_classif,0.5222222222222223,0.4562803862803862,0.545
PSD,Fp1,Random Forest,StratifiedKFold,chi2,0.7027777777777777,0.6970129870129871,0.7100000000000001
PSD,Fp1,Random Forest,StratifiedShuffleSplit,anova,0.6222222222222221,0.5669630369630371,0.615
PSD,Fp1,Random Forest,StratifiedShuffleSplit,mutual_info_classif,0.4444444444444445,0.4062354312354312,0.465
PSD,Fp1,Random Forest,StratifiedShuffleSplit,chi2,0.6444444444444445,0.6247402597402598,0.64
PSD,Fp1,XGBoost,KFold,anova,0.475,0.4523232323232323,0.495
PSD,Fp1,XGBoost,KFold,mutual_info_classif,0.7083333333333333,0.7028066378066378,0.7283333333333333
PSD,Fp1,XGBoost,KFold,chi2,0.6138888888888889,0.597012987012987,0.615
PSD,Fp1,XGBoost,StratifiedKFold,anova,0.5222222222222223,0.4762337662337662,0.525
PSD,Fp1,XGBoost,StratifiedKFold,mutual_info_classif,0.5138888888888888,0.4919624819624819,0.505
PSD,Fp1,XGBoost,StratifiedKFold,chi2,0.7305555555555555,0.7279365079365079,0.7350000000000001
PSD,Fp1,XGBoost,StratifiedShuffleSplit,anova,0.6,0.5873448773448774,0.615
PSD,Fp1,XGBoost,StratifiedShuffleSplit,mutual_info_classif,0.6666666666666666,0.6655555555555557,0.6700000000000002
PSD,Fp1,XGBoost,StratifiedShuffleSplit,chi2,0.6888888888888889,0.683116883116883,0.7
PSD,Fp1,LightGBM,KFold,anova,0.4111111111111111,0.2897435897435897,0.5
PSD,Fp1,LightGBM,KFold,mutual_info_classif,0.4111111111111111,0.2897435897435897,0.5
PSD,Fp1,LightGBM,KFold,chi2,0.4111111111111111,0.2897435897435897,0.5
PSD,Fp1,LightGBM,StratifiedKFold,anova,0.4555555555555555,0.3128205128205127,0.5
PSD,Fp1,LightGBM,StratifiedKFold,mutual_info_classif,0.4555555555555555,0.3128205128205127,0.5
PSD,Fp1,LightGBM,StratifiedKFold,chi2,0.4555555555555555,0.3128205128205127,0.5
PSD,Fp1,LightGBM,StratifiedShuffleSplit,anova,0.4444444444444445,0.3076923076923076,0.5
PSD,Fp1,LightGBM,StratifiedShuffleSplit,mutual_info_classif,0.4444444444444445,0.3076923076923076,0.5
PSD,Fp1,LightGBM,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD,Fp1,AdaBoost,KFold,anova,0.5416666666666666,0.5126623376623376,0.5566666666666668
